MaxResAmp,MaxResFreq,SecMaxResAmp,SecMaxResFreq,TotalPhaseShift,Med10ResAmp,Med10ResFreq,MeanGDR,Damage
0.032002,0.0051017,2465,1257,2.79E+05,0.0049102,3778,0.05546,0
0.035655,0.0032021,2457,1225,3.29E+05,0.0047143,2614,0.072857,0
0.024723,0.0040538,2475,1188,3.46E+05,0.0038891,2640.5,0.09591,0
0.011436,0.0012235,2378,2135,3.05E+05,0.0011374,2967.5,0.042282,0
0.019607,0.010032,2445,1317,2.73E+05,0.0052539,3792,0.053421,0
0.022755,0.001871,2447,1543,3.24E+05,0.0014639,3019,0.052639,0
0.030954,0.0060509,2425,1259,4.34E+05,0.0057172,2915,0.082882,0
0.024153,0.0010015,2448,2241,3.73E+05,0.0010282,3030.5,0.083654,0
0.031338,0.0019718,2429,1987,2.62E+05,0.0046615,2950.5,0.046425,0
0.028,0.0040495,2440,1696,3.59E+05,0.0040217,3715.5,0.07665,0
0.025988,0.0063753,2425,1224,4.07E+05,0.0046787,4050,0.10284,0
0.026264,0.00061716,2492,2244,3.56E+05,0.0030553,2667.5,0.074252,0
0.026799,0.0036094,2407,2239,3.89E+05,0.0055109,3538.5,0.083247,0
0.022314,0.001589,2487,1187,3.02E+05,0.0030982,2848,0.06702,0
0.022005,0.0010982,2481,2080,2.54E+05,0.0020954,2647,0.038508,0
0.0208,0.00098044,2471,1594,2.71E+05,0.002686,2635,0.044514,0
0.033209,0.0078039,2454,1256,4.30E+05,0.004767,3764,0.080089,0
0.03884,0.0054637,2432,1430,2.77E+05,0.0056029,2273,0.049918,0
0.029418,0.0029673,2486,1453,3.62E+05,0.0038665,2651.5,0.078064,0
0.029155,0.0025788,2424,10,3.03E+05,0.0039839,2831,0.05911,0
0.027801,0.0041014,2448,1185,4.43E+05,0.0052912,2613.5,0.11491,0
0.032459,0.0034186,2486,2261,3.41E+05,0.0047088,2653.5,0.095528,0
0.029052,0.0014005,2515,1210,2.77E+05,0.00214,3766.5,0.056798,0
0.015161,0.0016147,2344,2164,3.98E+05,0.0015514,3745.5,0.075779,0
0.027924,0.0031058,2465,1608,2.64E+05,0.0023822,4032.5,0.069104,0
0.023162,0.0061989,2482,1224,3.39E+05,0.0032392,3767,0.056622,0
0.022216,0.001109,2439,1272,2.81E+05,0.0023331,2277,0.064945,0
0.040506,0.0021531,2398,1232,3.91E+05,0.0056414,2538.5,0.085175,0
0.028125,0.0014181,2485,1390,3.18E+05,0.0013827,3846.5,0.05676,0
0.029659,0.0025943,2421,2375,2.53E+05,0.0022376,4174.5,0.051622,0
0.026523,0.0018469,2473,2264,2.49E+05,0.0017162,3049,0.055655,0
0.029542,0.0012675,2484,2300,3.15E+05,0.00089568,4221,0.045315,0
0.020972,0.013447,2459,1307,4.15E+05,0.0080061,2618,0.10075,0
0.020194,0.0010739,2468,2280,3.30E+05,0.0022918,3048.5,0.059822,0
0.027761,0.0015261,2416,1566,2.34E+05,0.001335,3018.5,0.041852,0
0.030476,0.003608,2433,2363,3.73E+05,0.0046934,2603.5,0.070861,0
0.031024,0.0017861,2433,1695,2.46E+05,0.0065028,2268,0.034717,0
0.033186,0.0029946,2479,1112,3.36E+05,0.0027879,3069.5,0.057372,0
0.036815,0.0012497,2427,1702,2.98E+05,0.0070496,2262.5,0.077988,0
0.017485,0.0015656,2425,2334,3.09E+05,0.0021519,2700.5,0.051044,0
0.028791,0.0029765,2451,2362,3.95E+05,0.002292,3037.5,0.087323,0
0.015984,0.0010269,2480,3281,2.62E+05,0.0017675,2855.5,0.045893,0
0.031818,0.0013592,2476,1609,3.13E+05,0.0012933,3045.5,0.043354,0
